phase,rps,offeredRPS,throughput,dropFraction,avgTTFT,avgITL,avgRespTime,avgWaitTime,concurrency,saturation,reads,empty
knee,1.0,1.0074074333333334,1.0037037,0.003676499905384212,66.48801833333333,13.190967333333333,6973.874866666666,0.0,6.999704007010339,,3,False
knee,1.5,1.4518519,1.4185185666666669,0.022959182912067777,71.71066666666667,13.715729166666668,7013.363133333333,0.0,9.948585819408843,,3,False
knee,2.25,2.3111110999999998,2.307407433333333,0.0016025480846275642,72.86643000000001,14.845182333333334,7667.196766666667,0.0,17.691346812235967,,3,False
knee,3.375,3.5222222000000003,3.451851833333333,0.01997896858030912,82.44802333333332,16.972132666666667,8756.360999999999,0.0,30.225660771178493,,3,False
knee,5.0625,4.762962966666667,4.618518433333333,0.030326612729139613,95.92523333333334,20.080265666666666,10368.199666666667,0.0,47.88572128098052,,3,False
knee,7.59375,8.059259666666668,6.703703766666666,0.16819856364805075,163.79879,39.48159733333333,19977.650333333335,0.0,133.92424978871625,overloaded,3,False
curve,0.759375,0.7962963,0.7962963,0.0,2205.6778,26.864399666666667,17667.787333333334,0.0,14.0687936827202,,3,False
curve,1.771875,1.8037036999999998,1.7888889,0.00821354416470943,69.7479,13.939649000000001,7077.145066666667,0.0,12.66022625344976,,3,False
curve,2.784375,2.725925866666666,2.6333333333333333,0.03396737030363828,78.95748866666666,15.756623,8423.207666666667,0.0,22.181113522222223,,3,False
curve,3.796875,4.292592666666667,4.1296295333333335,0.03796380089794993,91.99282133333334,18.779815666666668,9543.942666666668,0.0,39.41294750070676,,3,False
curve,4.809375,5.044444333333334,4.7259261,0.06314238244807024,93.33911,20.522996666666668,10652.955,0.0,50.3450780766255,,3,False
curve,5.821875,6.137037133333333,6.137037133333333,0.0,114.83789533333334,26.596648333333334,13704.040333333332,0.0,84.10220440236436,,3,False
curve,6.834375,6.770370466666667,6.3555554,0.06126918293599637,123.05138,28.625142,14789.682333333336,0.0,93.99664541790128,,3,False
curve,7.846875,7.874074,6.948148033333333,0.11759172782306426,349.7052066666667,40.13333,20459.720666666664,0.0,142.15716791264933,,3,False
curve,8.859375,9.081481333333333,6.837036933333334,0.24714518673972563,8953.599999999999,48.65030333333333,33959.263,0.0,232.18073535978013,overloaded,3,False
curve,9.871875,9.385185,7.0,0.25414363169186327,11591.260333333334,48.12594233333334,36066.437,0.0,252.46505899999997,,3,False
